CustomerID,Age,Gender,Years_as_Customer,PreferredLoginDevice,PreferredPaymentMode,Total_Spend,Average_Transaction_Amount,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,Num_of_Purchases,NumberOfAddress,Num_of_Returns,Satisfaction_Score,Num_of_Support_Contacts,Complain,Last_Purchase_Days_Ago,CashbackAmount,Email_Opt_In,Promotion_Response,Churn
50073,57,Female,9,Computer,Credit Card,4553.63,248.66,2,3,Laptop & Accessory,38,3,7,3,1,0,182,153,TRUE,Responded,0
50074,59,Male,14,Mobile Phone,Debit Card,2348.58,443.26,2,3,Laptop & Accessory,49,10,0,5,1,0,42,166,FALSE,Unsubscribed,0
50075,53,Male,1,Mobile Phone,COD,2987.49,130.87,2,3,Laptop & Accessory,40,4,2,1,2,0,138,163,FALSE,Responded,0
50076,56,Male,1,Computer,COD,7785.7,464.56,2,4,Laptop & Accessory,39,6,0,1,2,0,267,143,FALSE,Unsubscribed,0
50077,29,Male,16,Computer,Debit Card,2806.16,388.99,3,3,Laptop & Accessory,44,2,5,2,3,1,284,168,FALSE,Unsubscribed,0
50078,64,Male,18,Computer,Credit Card,3867.77,166.56,2,3,Mobile Phone,49,2,4,3,3,1,104,138,TRUE,Unsubscribed,0
50079,36,Male,13,Phone,CC,4837.9,483.73,,3,Laptop & Accessory,1,9,5,1,0,1,162,127,TRUE,Ignored,0
50080,45,Male,17,Mobile Phone,Credit Card,5793.6,190.7,3,3,Laptop & Accessory,10,8,6,4,0,1,85,167,TRUE,Responded,1
50081,18,Female,12,Mobile Phone,E wallet,9961.39,342.92,2,3,Fashion,16,2,7,2,3,0,8,176,TRUE,Responded,1
50082,32,Male,16,Phone,Debit Card,2398.88,468.91,2,2,Mobile,53,2,0,5,0,1,219,123,TRUE,Responded,0
50083,53,Female,1,Computer,CC,3598.89,396.71,3,3,Mobile,54,2,7,3,2,0,87,122,FALSE,Unsubscribed,0
50084,30,Male,15,Computer,Debit Card,2702.62,444.39,3,4,Laptop & Accessory,5,10,7,2,3,0,8,149,TRUE,Unsubscribed,0
50085,60,Male,5,Mobile Phone,Credit Card,3675.02,89.22,3,3,Fashion,29,8,4,5,1,0,112,194,FALSE,Unsubscribed,0
50086,38,Male,19,Mobile Phone,Credit Card,1097.96,325.33,2,5,Fashion,36,2,8,1,4,0,227,204,TRUE,Ignored,1
50087,29,Male,18,Computer,Debit Card,3662.12,49.15,2,4,Fashion,21,2,8,1,1,0,303,185,FALSE,Ignored,0
50088,22,Female,9,Computer,Debit Card,8889.86,490.18,2,3,Laptop & Accessory,7,2,4,2,0,0,240,200,FALSE,Responded,0
50089,24,Male,5,Mobile Phone,Debit Card,3056.04,352.16,2,4,Fashion,42,6,3,1,1,0,111,225,FALSE,Responded,0
50090,22,Female,11,Phone,COD,3782.15,61.07,2,3,Mobile,32,6,3,2,3,1,269,127,TRUE,Unsubscribed,1
50091,65,Female,2,Mobile Phone,Debit Card,9450.29,398.57,3,3,Fashion,90,4,1,4,3,1,276,236,TRUE,Responded,0
50092,21,Female,2,Computer,E wallet,7310.95,236.53,2,4,Laptop & Accessory,81,6,9,1,0,0,340,167,TRUE,Unsubscribed,1
50093,30,Male,15,Phone,Cash on Delivery,5215.71,48.96,2,3,Mobile,69,1,6,3,3,0,23,121,TRUE,Responded,1
50094,54,Female,19,Computer,Credit Card,7794.21,404.14,2,4,Fashion,14,7,2,1,1,0,335,189,TRUE,Unsubscribed,0
50095,58,Female,4,Mobile Phone,E wallet,1319.48,27.27,2,3,Laptop & Accessory,34,3,4,3,4,0,325,159,FALSE,Responded,0
50096,32,Male,17,Mobile Phone,Debit Card,4698.45,399.71,3,3,Laptop & Accessory,18,9,6,2,0,0,207,159,FALSE,Ignored,0
50097,33,Female,6,Phone,CC,1270.54,291.37,2,4,Mobile,66,7,9,3,4,0,223,126,FALSE,Responded,0
50098,38,Male,4,Computer,UPI,2412.82,11.33,2,3,Fashion,90,2,9,1,2,1,278,222,TRUE,Responded,0
50099,53,Male,16,Mobile Phone,Debit Card,1504.49,228.21,3,3,Fashion,48,1,9,5,4,0,209,206,FALSE,Ignored,0
50100,41,Male,14,Computer,Credit Card,3681.83,309.19,2,5,Laptop & Accessory,87,1,2,2,3,0,147,143,FALSE,Ignored,0
50101,33,Male,9,Phone,Debit Card,3878.23,110.51,3,4,Mobile,43,4,5,3,1,0,353,122,TRUE,Responded,0
50102,31,Male,8,Computer,E wallet,9478.35,125.7,2,3,Mobile Phone,23,5,8,1,4,0,82,0,FALSE,Ignored,0
50103,39,Female,12,Computer,Credit Card,2714.84,41.71,2,3,Fashion,82,2,8,1,4,0,266,179,TRUE,Ignored,0
50104,66,Female,9,Computer,E wallet,4777.05,338.17,3,3,Fashion,68,2,5,4,1,0,95,188,FALSE,Ignored,0
50105,67,Male,9,Phone,CC,8132.66,105.31,2,4,Mobile,20,2,0,4,0,1,261,124,TRUE,Unsubscribed,1
50106,23,Female,19,Phone,Debit Card,8174.61,431.93,2,4,Mobile,47,8,4,5,1,0,173,132,FALSE,Unsubscribed,0
50107,59,Male,6,Mobile Phone,Cash on Delivery,7528.4,381.68,2,3,Others,30,2,8,2,2,0,162,292,FALSE,Ignored,0
50108,53,Male,7,Phone,CC,2949.55,55.55,2,3,Mobile,69,9,2,4,4,0,144,123,TRUE,Unsubscribed,0
50109,18,Female,6,Mobile Phone,Credit Card,5000.22,283.26,3,3,Others,85,4,9,5,1,0,255,295,FALSE,Ignored,0
50110,49,Male,12,Phone,CC,1943.49,212.13,2,3,Mobile,31,6,5,3,4,1,195,124,TRUE,Responded,1
50111,23,Female,16,Mobile Phone,E wallet,1965.16,391.58,3,3,Grocery,45,6,0,2,0,1,169,261,FALSE,Responded,0
50112,48,Female,13,Phone,Debit Card,4414.83,334.47,,3,Mobile,80,8,9,2,4,0,145,127,FALSE,Responded,1
50113,18,Male,5,Computer,Debit Card,7412.06,48.3,3,4,Others,34,2,4,4,4,1,78,291,TRUE,Responded,0
50114,67,Female,4,Phone,Debit Card,5313.18,491.01,2,3,Mobile Phone,5,3,3,2,1,0,150,139,FALSE,Responded,0
50115,68,Male,19,Phone,Debit Card,8878.16,135.89,3,4,Mobile Phone,84,1,7,5,0,1,332,137,FALSE,Ignored,1
50116,54,Female,18,Phone,CC,8326,135.22,3,3,Mobile,38,8,2,2,2,0,82,122,TRUE,Ignored,0
50117,52,Male,13,Computer,E wallet,412.89,159.35,3,3,Laptop & Accessory,53,1,2,1,1,0,112,145,TRUE,Responded,0
50118,66,Male,13,Phone,Debit Card,5727.35,488.27,,3,Laptop & Accessory,65,3,0,5,1,0,58,131,FALSE,Ignored,0
50119,47,Male,1,Phone,COD,6130.7,403.85,3,3,Laptop & Accessory,18,2,0,5,0,0,38,133,TRUE,Responded,0
50120,21,Male,1,Mobile Phone,UPI,9619.59,52.17,3,2,Others,18,1,8,2,3,0,203,292,FALSE,Unsubscribed,0
50121,52,Male,7,Computer,Credit Card,330.04,214.81,3,3,Fashion,40,10,6,2,4,0,362,237,TRUE,Ignored,0
50122,60,Female,4,Phone,Debit Card,5357.93,429.09,,4,Mobile,19,2,2,4,1,0,259,129,TRUE,Responded,0
50123,31,Male,10,Mobile Phone,Debit Card,2127.34,181.12,2,4,Laptop & Accessory,6,7,5,1,0,0,121,160,FALSE,Responded,0
50124,66,Female,9,Phone,Credit Card,631.26,152.79,2,4,Mobile Phone,99,3,1,4,1,0,216,139,TRUE,Ignored,0
50125,57,Male,4,Computer,Debit Card,5916.14,323.31,3,2,Laptop & Accessory,4,5,7,2,0,0,199,164,TRUE,Responded,0
50126,39,Male,11,Computer,Credit Card,7748.78,190.16,3,3,Fashion,59,7,9,1,0,0,21,200,FALSE,Ignored,1
50127,27,Female,13,Computer,Cash on Delivery,7771.17,89.19,3,3,Fashion,1,1,4,3,2,0,21,209,TRUE,Unsubscribed,0
50128,18,Male,9,Phone,Debit Card,399.86,246.8,2,3,Mobile,36,2,0,4,0,0,190,123,FALSE,Ignored,0
50129,28,Female,7,Mobile Phone,Debit Card,4128.77,407.73,2,2,Laptop & Accessory,26,4,3,2,0,1,359,165,TRUE,Ignored,0
50130,68,Male,8,Mobile Phone,E wallet,540.65,423.82,2,3,Laptop & Accessory,85,3,5,5,3,0,50,169,FALSE,Unsubscribed,0
50131,61,Female,19,Phone,Debit Card,2553.6,311.67,3,3,Laptop & Accessory,94,1,6,5,4,0,326,149,FALSE,Unsubscribed,0
50132,41,Female,16,Phone,CC,2009.52,499.57,2,4,Mobile,66,1,5,2,2,1,337,126,TRUE,Unsubscribed,0
50133,20,Male,5,Mobile Phone,Credit Card,2230.31,492.49,2,3,Others,15,1,5,3,4,0,245,294,FALSE,Responded,0
50134,52,Male,12,Phone,Debit Card,3457.27,126.96,,3,Mobile,45,2,1,3,1,0,179,127,FALSE,Unsubscribed,0
50135,53,Male,12,Computer,CC,2846.44,387.75,3,4,Mobile,5,1,0,1,2,0,208,135,TRUE,Ignored,1
50136,48,Male,13,Computer,Debit Card,9626.57,100.11,,2,Mobile,71,2,7,5,2,0,296,128,FALSE,Responded,0
50137,21,Male,1,Computer,Debit Card,3588.83,211.59,2,4,Laptop & Accessory,18,4,3,3,0,0,274,152,FALSE,Responded,0
50138,36,Male,6,Phone,Cash on Delivery,8952.31,14.88,2,4,Laptop & Accessory,94,5,3,4,3,0,352,122,TRUE,Unsubscribed,0
50139,64,Female,7,Mobile Phone,Cash on Delivery,1892.31,108.7,3,5,Grocery,62,4,1,3,0,1,27,269,FALSE,Unsubscribed,0
50140,53,Male,14,Phone,Debit Card,7661.09,119.57,3,3,Mobile,57,3,4,4,3,0,30,135,FALSE,Unsubscribed,1
50141,38,Male,6,Mobile Phone,Credit Card,707.32,494,3,4,Laptop & Accessory,2,3,8,5,2,0,140,166,FALSE,Responded,0
50142,35,Male,19,Mobile Phone,Credit Card,4681.34,30.41,3,4,Laptop & Accessory,17,1,5,4,2,0,231,156,FALSE,Unsubscribed,0
50143,68,Male,13,Computer,Debit Card,154.55,473.47,2,2,Laptop & Accessory,67,2,8,2,3,0,322,140,TRUE,Unsubscribed,0
50144,45,Male,15,Mobile Phone,Credit Card,8121.88,420.71,3,3,Grocery,79,1,6,4,0,1,303,235,TRUE,Unsubscribed,0
50145,32,Male,4,Phone,Debit Card,9509.81,21.01,2,3,Mobile,50,1,7,2,0,0,254,132,FALSE,Unsubscribed,0
50146,59,Male,10,Mobile Phone,Credit Card,447.56,77,2,3,Others,25,1,5,3,2,1,236,290,FALSE,Unsubscribed,0
50147,19,Male,6,Computer,Debit Card,9345.08,318.22,2,3,Fashion,70,2,0,2,0,1,49,218,FALSE,Responded,1
50148,54,Male,2,Phone,CC,7761.15,181.89,3,3,Mobile,22,2,4,5,2,0,120,121,FALSE,Responded,0
50149,28,Male,2,Mobile Phone,Credit Card,3652.73,177.27,3,3,Laptop & Accessory,9,5,3,5,2,0,231,165,TRUE,Ignored,0
50150,40,Male,1,Phone,CC,9097.88,351.27,3,4,Mobile,73,2,8,4,1,0,52,132,TRUE,Ignored,0
50151,61,Female,16,Computer,Credit Card,3032.95,497.43,0,3,Fashion,34,3,5,5,3,1,4,236,FALSE,Ignored,0
50152,58,Female,11,Mobile Phone,Debit Card,4152.02,173.03,3,2,Fashion,70,8,6,1,3,0,338,220,TRUE,Responded,0
50153,29,Female,13,Mobile Phone,Credit Card,1057.44,462.29,2,2,Laptop & Accessory,97,2,5,4,1,1,319,156,TRUE,Unsubscribed,0
50154,20,Female,14,Computer,Debit Card,6603.7,366.94,2,3,Laptop & Accessory,1,2,5,1,1,0,5,164,FALSE,Unsubscribed,0
50155,69,Male,4,Mobile Phone,Debit Card,393.05,425.02,3,3,Others,44,4,0,5,4,0,82,291,TRUE,Unsubscribed,0
50156,34,Male,11,Mobile Phone,Credit Card,4900.56,259.33,2,3,Grocery,7,4,0,3,2,1,227,276,TRUE,Ignored,0
50157,50,Male,10,Phone,Debit Card,6863.6,271.31,2,3,Laptop & Accessory,15,2,7,3,4,0,196,149,FALSE,Responded,0
50158,18,Male,6,Computer,Debit Card,8230.25,277.77,2,3,Laptop & Accessory,38,2,7,5,2,0,50,146,TRUE,Ignored,0
50159,56,Male,14,Mobile Phone,COD,1584.42,286.92,2,3,Laptop & Accessory,93,4,8,3,3,1,114,154,FALSE,Ignored,0
50160,37,Male,9,Computer,Credit Card,7565.49,80.78,2,3,Laptop & Accessory,81,2,2,3,4,1,148,147,TRUE,Ignored,0
50161,64,Female,18,Phone,Debit Card,7218.86,111.45,2,3,Mobile,54,2,1,5,2,0,303,121,FALSE,Unsubscribed,0
50162,60,Male,14,Computer,Debit Card,5639.75,85.33,,3,Mobile,30,4,7,5,3,1,339,132,TRUE,Unsubscribed,1
50163,69,Male,4,Mobile Phone,Debit Card,5887.98,103.58,2,3,Laptop & Accessory,83,10,6,1,3,0,296,157,FALSE,Unsubscribed,0
50164,58,Male,1,Phone,CC,1003.58,335.83,2,3,Mobile,94,3,0,2,1,1,331,124,TRUE,Ignored,1
50165,31,Female,15,Phone,Debit Card,6044.66,111.19,3,3,Mobile,4,2,0,1,1,0,126,133,FALSE,Ignored,0
50166,48,Female,15,Computer,Debit Card,3877.07,440.41,2,3,Others,75,10,6,4,4,1,222,287,TRUE,Responded,0
50167,42,Male,7,Phone,COD,8689.05,68.54,1,3,Laptop & Accessory,42,5,5,4,0,0,201,145,TRUE,Unsubscribed,0
50168,20,Female,16,Computer,E wallet,3199.68,494.48,,3,Mobile,40,2,5,3,0,0,127,128,TRUE,Ignored,0
50169,21,Male,6,Mobile Phone,E wallet,5808.29,10.7,2,4,Laptop & Accessory,97,2,7,4,3,1,99,158,FALSE,Responded,1
50170,48,Male,1,Computer,CC,4323.06,423.5,2,3,Mobile,33,2,0,3,2,1,188,123,TRUE,Ignored,0
50171,52,Female,8,Computer,E wallet,8774.99,10.98,3,3,Grocery,29,6,0,5,4,0,214,235,TRUE,Ignored,0
50172,61,Male,8,Mobile Phone,Debit Card,2613.78,394.88,2,3,Mobile Phone,15,2,5,2,4,0,239,114,TRUE,Ignored,1
50173,31,Male,18,Mobile Phone,E wallet,880.14,366.55,3,3,Fashion,96,1,5,5,4,0,6,180,FALSE,Responded,0
50174,66,Male,1,Computer,Debit Card,7511.69,350.32,2,2,Mobile Phone,99,5,1,5,2,0,69,137,TRUE,Responded,0
50175,58,Male,16,Mobile Phone,Credit Card,4187.68,181.93,2,5,Laptop & Accessory,63,6,5,5,3,0,37,155,FALSE,Responded,0
50176,26,Male,12,Mobile Phone,Debit Card,5932.07,317.27,2,3,Grocery,62,2,1,3,2,0,125,260,TRUE,Unsubscribed,0
50177,37,Female,12,Mobile Phone,Credit Card,361.25,303.71,3,4,Mobile Phone,68,2,5,3,4,0,40,112,FALSE,Responded,0
50178,49,Male,19,Mobile Phone,Credit Card,9525.89,372.37,3,2,Laptop & Accessory,14,1,9,2,2,0,119,157,FALSE,Unsubscribed,0
50179,26,Male,12,Mobile Phone,COD,8788.42,357.91,3,2,Laptop & Accessory,19,5,7,5,3,0,86,169,TRUE,Ignored,0
50180,44,Male,7,Mobile Phone,Credit Card,6276.29,131.63,2,2,Fashion,82,1,4,2,0,0,250,196,FALSE,Unsubscribed,0
50181,20,Female,8,Computer,Debit Card,268.6,357.7,2,3,Laptop & Accessory,62,8,7,3,4,0,165,157,TRUE,Responded,0
50182,21,Male,4,Mobile Phone,Debit Card,3841.97,163.11,3,4,Laptop & Accessory,35,2,2,5,0,0,175,155,TRUE,Unsubscribed,0
50183,62,Female,6,Mobile Phone,Debit Card,9790.09,198.9,2,4,Fashion,99,4,0,2,1,0,205,221,FALSE,Responded,0
50184,32,Male,18,Computer,Debit Card,6845.17,151.01,2,5,Laptop & Accessory,84,3,3,4,0,1,206,157,TRUE,Ignored,0
50185,50,Male,1,Phone,COD,1693.78,372.21,2,3,Mobile Phone,69,1,8,5,1,1,196,148,FALSE,Responded,0
50186,22,Male,12,Mobile Phone,UPI,4659.91,418.99,3,4,Laptop & Accessory,76,4,2,4,2,0,174,164,TRUE,Responded,0
50187,21,Male,2,Computer,Debit Card,9670.7,131.84,3,3,Fashion,22,2,2,4,1,0,41,152,FALSE,Unsubscribed,0
50188,63,Male,19,Phone,Debit Card,5393.61,261.9,,3,Mobile,4,1,0,1,0,1,106,127,FALSE,Responded,0
50189,29,Female,15,Computer,Debit Card,343.68,355.75,3,3,Fashion,35,7,3,5,3,0,185,219,TRUE,Responded,0
50190,40,Male,19,Mobile Phone,Credit Card,6235.74,414.02,2,3,Grocery,84,2,0,2,3,1,287,271,TRUE,Unsubscribed,0
50191,31,Female,10,Computer,Debit Card,2785.04,366.36,2,3,Mobile,91,1,7,2,0,0,338,125,TRUE,Unsubscribed,0
50192,63,Female,7,Mobile Phone,Cash on Delivery,1078.57,58.6,2,4,Grocery,73,8,3,2,0,1,348,240,TRUE,Responded,0
50193,29,Male,5,Phone,Credit Card,4088.79,345.2,2,4,Laptop & Accessory,79,3,7,4,1,0,324,149,TRUE,Responded,1
50194,34,Female,12,Phone,Debit Card,5629.38,453.65,2,3,Mobile,36,2,1,5,0,1,283,125,TRUE,Unsubscribed,0
50195,42,Female,18,Mobile Phone,COD,268.7,226.57,3,4,Laptop & Accessory,77,2,5,1,0,1,43,152,TRUE,Ignored,0
50196,47,Male,1,Phone,Debit Card,5634.56,373.88,3,3,Laptop & Accessory,82,2,5,3,0,1,204,145,FALSE,Unsubscribed,0
50197,39,Male,12,Mobile Phone,E wallet,5160.91,481.34,3,3,Laptop & Accessory,88,5,7,1,0,0,122,175,FALSE,Unsubscribed,0
